sep=|
ESTADO|DISTRITO|PARTIDO_CI|CANDIDATURA_PROPIETARIA|CANDIDATURA_SUPLENTE
2|8|FS X MÉXICO|JESUS ADRIANA BAEZ GERARDO|YOALI ITZEL NUÑEZ MARTINEZ
2|8|PAN_PRI_PRD|IGNACIO ANAYA BARRIGUETE|MANUEL MAURICIO MARTINEZ FLORES
2|8|PAN_PRI|IGNACIO ANAYA BARRIGUETE|MANUEL MAURICIO MARTINEZ FLORES
2|8|PAN_PRD|IGNACIO ANAYA BARRIGUETE|MANUEL MAURICIO MARTINEZ FLORES
2|8|PRI_PRD|IGNACIO ANAYA BARRIGUETE|MANUEL MAURICIO MARTINEZ FLORES
2|8|PVEM_PT_MORENA|FAUSTO GALLARDO GARCIA|DAVID EMILIANO HERNANDEZ VILLELA
2|8|PVEM_PT|FAUSTO GALLARDO GARCIA|DAVID EMILIANO HERNANDEZ VILLELA
2|8|PVEM_MORENA|FAUSTO GALLARDO GARCIA|DAVID EMILIANO HERNANDEZ VILLELA
2|8|PT_MORENA|FAUSTO GALLARDO GARCIA|DAVID EMILIANO HERNANDEZ VILLELA
3|1|PAN|MARCO ANTONIO ALMENDARIZ PUPPO|ALEJANDRO ALONSO SOLIS LOPEZ
3|1|PRI|MARCO ANTONIO ALMENDARIZ PUPPO|ALEJANDRO ALONSO SOLIS LOPEZ
3|1|PRD|MARCO ANTONIO ALMENDARIZ PUPPO|ALEJANDRO ALONSO SOLIS LOPEZ
3|1|PVEM|MA MERCEDES MACIEL ORTIZ|MARIA DEL PILAR COSIO LUCERO
3|1|PT|MA MERCEDES MACIEL ORTIZ|MARIA DEL PILAR COSIO LUCERO
3|1|MOVIMIENTO CIUDADANO|RAMIRO RUIZ FLORES|ERNESTO MANUEL ALTAMIRANO SOLANO
3|1|MORENA|MA MERCEDES MACIEL ORTIZ|MARIA DEL PILAR COSIO LUCERO
3|1|PES|OSCAR HIGUERA MURILLO|ADRIAN GREGORIO DIAZ RAMOS
3|1|RSP|JUAN CARLOS JIMENEZ FUENTES|JUAN CARLOS MEDINA RAMOS
3|1|FS X MÉXICO|SIN CANDIDATURA|SIN CANDIDATURA
3|1|PAN_PRI_PRD|MARCO ANTONIO ALMENDARIZ PUPPO|ALEJANDRO ALONSO SOLIS LOPEZ
3|1|PAN_PRI|MARCO ANTONIO ALMENDARIZ PUPPO|ALEJANDRO ALONSO SOLIS LOPEZ
3|1|PAN_PRD|MARCO ANTONIO ALMENDARIZ PUPPO|ALEJANDRO ALONSO SOLIS LOPEZ
3|1|PRI_PRD|MARCO ANTONIO ALMENDARIZ PUPPO|ALEJANDRO ALONSO SOLIS LOPEZ
3|1|PVEM_PT_MORENA|MA MERCEDES MACIEL ORTIZ|MARIA DEL PILAR COSIO LUCERO
3|1|PVEM_PT|MA MERCEDES MACIEL ORTIZ|MARIA DEL PILAR COSIO LUCERO
3|1|PVEM_MORENA|MA MERCEDES MACIEL ORTIZ|MARIA DEL PILAR COSIO LUCERO
3|1|PT_MORENA|MA MERCEDES MACIEL ORTIZ|MARIA DEL PILAR COSIO LUCERO
3|2|PAN|SUSANA DEL CARMEN ZATARAIN GARCIA|FRANCIS ALEJANDRA DORING MENDOZA
3|2|PRI|SUSANA DEL CARMEN ZATARAIN GARCIA|FRANCIS ALEJANDRA DORING MENDOZA
3|2|PRD|SUSANA DEL CARMEN ZATARAIN GARCIA|FRANCIS ALEJANDRA DORING MENDOZA
