ID_ENTIDAD,DISTRITO,nombre_partido,candidato
12,7,PVEM,MORENA
12,8,PAN,PRI
12,8,PRI,PRI
12,8,PRD,PRI
12,8,PT,PVEM
12,8,MORENA,PVEM
12,8,PVEM,PVEM
12,9,PAN,PRI
12,9,PRI,PRI
12,9,PRD,PRI
12,9,PT,PT
12,9,MORENA,MORENA
12,9,PVEM,PVEM
13,1,PAN,PRI
13,1,PRI,PRI
13,1,PRD,PRI
13,1,PT,MORENA
13,1,MORENA,MORENA
13,1,PVEM,MORENA
13,2,PAN,PAN
13,2,PRI,PAN
13,2,PRD,PAN
13,2,PT,PVEM
13,2,MORENA,PVEM
13,2,PVEM,PVEM
13,3,PAN,PRD
13,3,PRI,PRD
13,3,PRD,PRD
13,3,PT,PT
13,3,MORENA,MORENA
13,3,PVEM,PVEM
13,4,PAN,PAN
13,4,PRI,PAN
13,4,PRD,PAN
13,4,PT,MORENA
13,4,MORENA,MORENA
13,4,PVEM,MORENA
13,5,PAN,PRD
13,5,PRI,PRD
13,5,PRD,PRD
13,5,PT,PVEM
13,5,MORENA,PVEM
13,5,PVEM,PVEM
13,6,PAN,PRI
13,6,PRI,PRI
13,6,PRD,PRI
13,6,PT,MORENA
13,6,MORENA,MORENA
13,6,PVEM,MORENA
13,7,PAN,PRI
13,7,PRI,PRI
13,7,PRD,PRI
13,7,PT,PT
13,7,MORENA,MORENA
13,7,PVEM,PVEM
14,1,PAN,PAN
14,1,PRI,PAN
14,1,PRD,PAN
14,1,PT,MORENA
14,1,MORENA,MORENA
14,1,PVEM,MORENA
14,2,PAN,PAN
14,2,PRI,PAN
14,2,PRD,PAN
14,2,PT,PT
14,2,MORENA,MORENA
14,2,PVEM,PVEM
14,3,PAN,PAN
14,3,PRI,PAN
14,3,PRD,PAN
14,3,PT,PT
14,3,MORENA,MORENA
14,3,PVEM,PVEM
14,4,PAN,PRI
14,4,PRI,PRI
14,4,PRD,PRI
14,4,PT,PVEM
14,4,MORENA,PVEM
14,4,PVEM,PVEM
14,5,PAN,PRD
14,5,PRI,PRD
14,5,PRD,PRD
14,5,PT,MORENA
14,5,MORENA,MORENA
14,5,PVEM,MORENA
14,6,PAN,PAN
14,6,PRI,PAN
14,6,PRD,PAN
14,6,PT,PVEM
14,6,MORENA,PVEM
14,6,PVEM,PVEM
14,7,PAN,PRI
14,7,PRI,PRI
14,7,PRD,PRI
14,7,PT,MORENA
14,7,MORENA,MORENA
14,7,PVEM,MORENA
14,8,PAN,PAN
14,8,PRI,PAN
14,8,PRD,PAN
14,8,PT,PVEM
14,8,MORENA,PVEM
14,8,PVEM,PVEM
14,9,PAN,PRD
14,9,PRI,PRD
14,9,PRD,PRD
14,9,PT,PVEM
14,9,MORENA,PVEM
14,9,PVEM,PVEM
14,10,PAN,PAN
14,10,PRI,PAN
14,10,PRD,PAN
14,10,PT,MORENA
14,10,MORENA,MORENA
14,10,PVEM,MORENA
14,11,PAN,PRI
14,11,PRI,PRI
14,11,PRD,PRI
14,11,PT,MORENA
14,11,MORENA,MORENA
14,11,PVEM,MORENA
14,12,PAN,PRD
14,12,PRI,PRD
14,12,PRD,PRD
14,12,PT,MORENA
14,12,MORENA,MORENA
14,12,PVEM,MORENA
14,13,PAN,PAN
14,13,PRI,PAN
14,13,PRD,PAN
14,13,PT,MORENA
14,13,MORENA,MORENA
14,13,PVEM,MORENA
14,14,PAN,PRD
14,14,PRI,PRD
14,14,PRD,PRD
14,14,PT,PVEM
14,14,MORENA,PVEM
14,14,PVEM,PVEM
14,15,PAN,PAN
14,15,PRI,PAN
14,15,PRD,PAN
14,15,PT,MORENA
14,15,MORENA,MORENA
14,15,PVEM,MORENA
14,16,PAN,PRD
14,16,PRI,PRD
14,16,PRD,PRD
14,16,PT,MORENA
14,16,MORENA,MORENA
14,16,PVEM,MORENA
14,17,PAN,PRI
14,17,PRI,PRI
14,17,PRD,PRI
14,17,PT,PVEM
14,17,MORENA,PVEM
14,17,PVEM,PVEM
14,18,PAN,PRI
14,18,PRI,PRI
14,18,PRD,PRI
14,18,PT,MORENA
14,18,MORENA,MORENA
14,18,PVEM,MORENA
14,19,PAN,PRI
14,19,PRI,PRI
14,19,PRD,PRI
14,19,PT,MORENA
14,19,MORENA,MORENA
14,19,PVEM,MORENA
14,20,PAN,PRI
14,20,PRI,PRI
14,20,PRD,PRI
14,20,PT,PT
14,20,MORENA,PT
14,20,PVEM,PT
15,1,PAN,PRI
15,1,PRI,PRI
15,1,PRD,PRI
15,1,PT,PVEM
15,1,MORENA,PVEM
15,1,PVEM,PVEM
15,2,PAN,PRD
15,2,PRI,PRD
15,2,PRD,PRD
15,2,PT,PT
15,2,MORENA,PT
15,2,PVEM,PT
15,3,PAN,PRI
15,3,PRI,PRI
15,3,PRD,PRI
15,3,PT,PT
15,3,MORENA,PT
15,3,PVEM,PT
15,4,PAN,PAN
15,4,PRI,PRI
15,4,PRD,PRD
15,4,PT,MORENA
15,4,MORENA,MORENA
15,4,PVEM,MORENA
15,5,PAN,PAN
15,5,PRI,PRI
15,5,PRD,PRD
15,5,PT,PT
15,5,MORENA,PT
15,5,PVEM,PT
15,6,PAN,PRD
15,6,PRI,PRD
15,6,PRD,PRD
15,6,PT,PVEM
15,6,MORENA,PVEM
15,6,PVEM,PVEM
15,7,PAN,PAN
15,7,PRI,PAN
15,7,PRD,PAN
15,7,PT,PT
15,7,MORENA,MORENA
15,7,PVEM,PVEM
15,8,PAN,PAN
15,8,PRI,PRI
15,8,PRD,PRD
15,8,PT,PT
15,8,MORENA,MORENA
15,8,PVEM,PVEM
15,9,PAN,PRI
15,9,PRI,PRI
15,9,PRD,PRI
15,9,PT,PT
15,9,MORENA,MORENA
15,9,PVEM,PVEM
15,10,PAN,PAN
15,10,PRI,PRI
15,10,PRD,PRD
15,10,PT,PT
15,10,MORENA,MORENA
15,10,PVEM,PVEM
15,11,PAN,PAN
15,11,PRI,PRI
15,11,PRD,PRD
15,11,PT,PT
15,11,MORENA,MORENA
15,11,PVEM,PVEM
15,12,PAN,PAN
15,12,PRI,PRI
15,12,PRD,PRD
15,12,PT,PVEM
15,12,MORENA,PVEM
15,12,PVEM,PVEM
15,13,PAN,PAN
15,13,PRI,PRI
15,13,PRD,PRD
15,13,PT,PT
15,13,MORENA,MORENA
15,13,PVEM,PVEM
15,14,PAN,PAN
15,14,PRI,PAN
15,14,PRD,PAN
15,14,PT,PT
15,14,MORENA,PT
15,14,PVEM,PT
15,15,PAN,PAN
15,15,PRI,PAN
15,15,PRD,PAN
15,15,PT,PT
15,15,MORENA,PT
15,15,PVEM,PT
15,16,PAN,PAN
15,16,PRI,PRI
15,16,PRD,PRD
15,16,PT,PT
15,16,MORENA,PT
15,16,PVEM,PT
15,17,PAN,PAN
15,17,PRI,PRI
15,17,PRD,PRD
15,17,PT,PT
15,17,MORENA,MORENA
15,17,PVEM,PVEM
15,18,PAN,PAN
15,18,PRI,PRI
15,18,PRD,PRD
15,18,PT,PT
15,18,MORENA,MORENA
15,18,PVEM,PVEM
15,19,PAN,PAN
15,19,PRI,PAN
15,19,PRD,PAN
15,19,PT,PT
15,19,MORENA,MORENA
15,19,PVEM,PVEM
15,20,PAN,PRD
15,20,PRI,PRD
15,20,PRD,PRD
15,20,PT,PT
15,20,MORENA,MORENA
15,20,PVEM,PVEM
15,21,PAN,PAN
15,21,PRI,PRI
15,21,PRD,PRD
15,21,PT,PT
15,21,MORENA,MORENA
15,21,PVEM,PVEM
15,22,PAN,PAN
15,22,PRI,PRI
15,22,PRD,PRD
15,22,PT,PT
15,22,MORENA,MORENA
15,22,PVEM,PVEM
15,23,PAN,PAN
15,23,PRI,PRI
15,23,PRD,PRD
15,23,PT,PT
15,23,MORENA,MORENA
15,23,PVEM,PVEM
15,24,PAN,PAN
15,24,PRI,PAN
15,24,PRD,PAN
15,24,PT,MORENA
15,24,MORENA,MORENA
15,24,PVEM,MORENA
15,25,PAN,PAN
15,25,PRI,PRI
15,25,PRD,PRD
15,25,PT,PT
15,25,MORENA,MORENA
15,25,PVEM,PVEM
15,26,PAN,PRI
15,26,PRI,PRI
15,26,PRD,PRI
15,26,PT,PVEM
15,26,MORENA,PVEM
15,26,PVEM,PVEM
15,27,PAN,PRI
15,27,PRI,PRI
15,27,PRD,PRI
15,27,PT,PT
15,27,MORENA,PT
15,27,PVEM,PT
15,28,PAN,PAN
15,28,PRI,PRI
15,28,PRD,PRD
15,28,PT,PT
15,28,MORENA,MORENA
15,28,PVEM,PVEM
15,29,PAN,PRI
15,29,PRI,PRI
15,29,PRD,PRI
15,29,PT,PT
15,29,MORENA,MORENA
15,29,PVEM,PVEM
15,30,PAN,PAN
15,30,PRI,PRI
15,30,PRD,PRD
15,30,PT,MORENA
15,30,MORENA,MORENA
15,30,PVEM,MORENA
15,31,PAN,PRD
15,31,PRI,PRD
15,31,PRD,PRD
15,31,PT,PT
15,31,MORENA,MORENA
15,31,PVEM,PVEM
15,32,PAN,PRD
15,32,PRI,PRD
15,32,PRD,PRD
15,32,PT,PT
15,32,MORENA,PT
15,32,PVEM,PT
15,33,PAN,PRI
15,33,PRI,PRI
15,33,PRD,PRI
15,33,PT,PT
15,33,MORENA,MORENA
15,33,PVEM,PVEM
15,34,PAN,PAN
15,34,PRI,PAN
15,34,PRD,PAN
15,34,PT,MORENA
15,34,MORENA,MORENA
15,34,PVEM,MORENA
15,35,PAN,PRI
15,35,PRI,PRI
15,35,PRD,PRI
15,35,PT,MORENA
15,35,MORENA,MORENA
15,35,PVEM,MORENA
15,36,PAN,PRI
15,36,PRI,PRI
15,36,PRD,PRI
15,36,PT,PT
15,36,MORENA,MORENA
15,36,PVEM,PVEM
15,37,PAN,PAN
15,37,PRI,PRI
15,37,PRD,PRD
15,37,PT,PT
15,37,MORENA,MORENA
15,37,PVEM,PVEM
15,38,PAN,PAN
15,38,PRI,PRI
15,38,PRD,PRD
15,38,PT,PT
15,38,MORENA,MORENA
15,38,PVEM,PVEM
15,39,PAN,PRI
15,39,PRI,PRI
15,39,PRD,PRI
15,39,PT,PT
15,39,MORENA,PT
15,39,PVEM,PT
15,40,PAN,PAN
15,40,PRI,PAN
15,40,PRD,PAN
15,40,PT,PT
15,40,MORENA,MORENA
15,40,PVEM,PVEM
15,41,PAN,PRI
15,41,PRI,PRI
15,41,PRD,PRI
15,41,PT,PVEM
15,41,MORENA,PVEM
15,41,PVEM,PVEM
16,1,PAN,PRI
16,1,PRI,PRI
16,1,PRD,PRI
16,1,PT,PT
16,1,MORENA,MORENA
16,1,PVEM,PVEM
16,2,PAN,PRD
16,2,PRI,PRD
16,2,PRD,PRD
16,2,PT,PT
16,2,MORENA,MORENA
16,2,PVEM,PVEM
16,3,PAN,PRD
16,3,PRI,PRD
16,3,PRD,PRD
16,3,PT,PT
16,3,MORENA,PT
16,3,PVEM,PT
16,4,PAN,PAN
16,4,PRI,PAN
16,4,PRD,PAN
16,4,PT,PT
16,4,MORENA,MORENA
16,4,PVEM,PVEM
16,5,PAN,PAN
16,5,PRI,PAN
16,5,PRD,PAN
16,5,PT,PT
16,5,MORENA,MORENA
16,5,PVEM,PVEM
16,6,PAN,PAN
16,6,PRI,PAN
16,6,PRD,PAN
16,6,PT,PT
16,6,MORENA,MORENA
16,6,PVEM,PVEM
16,7,PAN,PRI
16,7,PRI,PRI
16,7,PRD,PRI
16,7,PT,PT
16,7,MORENA,MORENA
16,7,PVEM,PVEM
16,8,PAN,PRI
16,8,PRI,PRI
16,8,PRD,PRI
16,8,PT,PT
16,8,MORENA,MORENA
16,8,PVEM,PVEM
16,9,PAN,PRD
16,9,PRI,PRD
16,9,PRD,PRD
16,9,PT,PT
16,9,MORENA,MORENA
16,9,PVEM,PVEM
16,10,PAN,PAN
16,10,PRI,PAN
16,10,PRD,PAN
16,10,PT,PT
16,10,MORENA,MORENA
16,10,PVEM,PVEM
16,11,PAN,PAN
16,11,PRI,PAN
16,11,PRD,PAN
16,11,PT,PT
16,11,MORENA,MORENA
16,11,PVEM,PVEM
16,12,PAN,PRI
16,12,PRI,PRI
16,12,PRD,PRI
16,12,PT,PT
16,12,MORENA,PT
16,12,PVEM,PT
17,1,PAN,PAN
17,1,PRI,PRI
17,1,PRD,PRD
17,1,PT,PT
17,1,MORENA,MORENA
17,1,PVEM,PVEM
17,2,PAN,PAN
17,2,PRI,PRI
17,2,PRD,PRD
17,2,PT,MORENA
17,2,MORENA,MORENA
17,2,PVEM,MORENA
17,3,PAN,PAN
17,3,PRI,PRI
17,3,PRD,PRD
17,3,PT,PT
17,3,MORENA,MORENA
17,3,PVEM,PVEM
17,4,PAN,PAN
17,4,PRI,PRI
17,4,PRD,PRD
17,4,PT,MORENA
17,4,MORENA,MORENA
17,4,PVEM,MORENA
17,5,PAN,PAN
17,5,PRI,PRI
17,5,PRD,PRD
17,5,PT,PT
17,5,MORENA,MORENA
17,5,PVEM,PVEM
18,1,PAN,PRI
18,1,PRI,PRI
18,1,PRD,PRI
18,1,PT,MORENA
18,1,MORENA,MORENA
18,1,PVEM,MORENA
18,2,PAN,PAN
18,2,PRI,PAN
18,2,PRD,PAN
18,2,PT,PVEM
18,2,MORENA,PVEM
18,2,PVEM,PVEM
18,3,PAN,PAN
18,3,PRI,PAN
18,3,PRD,PAN
18,3,PT,PT
18,3,MORENA,PT
18,3,PVEM,PT
19,1,PAN,PAN
19,1,PRI,PRI
19,1,PRD,PRD
19,1,PT,PT
19,1,MORENA,MORENA
19,1,PVEM,PVEM
